,Timestamp,Age,Status,I am able to make my own decisions about my education and career path.,I am able to communicate my needs and wants effectively.,I am able to make my own decisions about my appearance and personal style.,I am able to advocate for myself in various situations,I am confident in my ability to solve problems on my own.,I have a support network of friends and family that I can rely on,I am able to handle conflicts and problems on my own without relying on others.,I have a job/source of income,"I manage My own finances, including paying bills and budgeting",My parents encourage me to manage my affairs independently.,My parents use threats/criticism as punishment with little or no justification.,My parents take my feelings into consideration before asking me to do something.,My parents ignore me when I act up.,My parents isolate me with little or no explanation.,My parents explain the reasons behind their expectations.,My parents allow me to give input into family rules. ,My parents give into me when I throw a tantrum.,My parents fulfil all my wishes without hesitation.,My parents encourage me to talk about my problems.,"My parents do not punish me, whenever I am rude with someone",My parents ignore my bad behaviour. ,My parents do not set clear boundaries and consequences for my behavior.,My parents frequently remind me of all the things they have done for me.,My parents yell/shout when they disapprove of my behaviour.,My parents state punishments more often than actually carrying them out.,My parents consider my preferences when they make plans for the family (e.g. weekends and holidays) ,"When I ask my parents the reason for doing something, they say, because I am your parent.","My parents punish me by taking away privileges (e.g., TV, games, visiting friends). ","My parents encourage me to freely speak my mind, even if I disagree with them. ",Social Independence Score,Emotional Independence Score,Financial Independence Score,Authoritative Score,Controlling Score,Permissive Score,Neglectful Score,Parental Style,,,,,,,,
42,2022/12/21 9:59:09 PM GMT+5,21,Hostelite,4,4,4,4,5,3,4,1,2,2,1,4,1,1,4,4,1,4,4,2,1,1,3,4,4,4,1,1,4,1.7,3.7,-2,5.0368,-0.7499,-1.9118,2.842,Authoritative,,,,Financial,,,,Somewhat stable
44,2022/12/21 10:00:21 PM GMT+5,24,Day Scholar,5,5,5,4,5,5,4,1,3,4,1,3,1,1,1,4,1,2,1,1,1,1,2,2,2,5,1,2,2,1.7,3.7,-2,5.005,0.989,0.18,1.262,Authoritative,,,,Total,,,,
45,2022/12/21 10:05:46 PM GMT+5,22,Day Scholar,2,3,4,3,2,4,3,1,1,3,1,4,2,2,3,3,3,3,4,3,1,2,2,2,4,5,3,1,4,1.8,3.8,-2,3.8169,-0.9051,-0.8831,2.638,Authoritative,,,,Average,,,,
46,2022/12/21 10:06:54 PM GMT+5,20,Day Scholar,4,2,4,3,3,4,3,1,1,4,1,3,3,1,4,5,3,2,3,3,3,2,3,4,3,4,2,3,4,1.8,3.8,-2,3.609,-0.049,-2.878,2.366,Authoritative,,,,,,,,
47,2022/12/21 10:07:43 PM GMT+5,18,Day Scholar,5,5,4,4,4,5,3,1,1,4,1,5,3,2,5,3,3,4,4,2,1,4,1,2,2,5,5,3,3,2,4,-1.7,3.4108,-0.562,-1.0713,2.8238,Authoritative,,,,,,,,
48,2022/12/21 10:09:58 PM GMT+5,20,Day Scholar,4,3,5,4,3,4,4,1,3,4,2,4,1,1,3,4,2,1,4,1,1,1,3,3,4,5,3,2,3,2,4.1,-1.7,2.7318,1.3532,-1.3523,-0.241,Authoritative,,,,,,,,
49,2022/12/21 10:14:31 PM GMT+5,21,Day Scholar,4,4,3,4,3,3,4,1,1,4,1,3,2,1,4,4,2,2,4,2,1,1,2,3,4,4,4,2,3,2.1,4.1,-1.7,3.3211,-1.1383,-2.1927,2.5396,Authoritative,,,,,,,,
50,2022/12/21 10:15:21 PM GMT+5,21,Hostelite,5,3,3,4,5,5,3,2,2,4,2,4,3,1,3,3,3,3,5,3,3,5,1,3,1,5,3,3,5,2.1,4.1,-1.7,3.1277,-0.2554,-2.6527,3.0933,Authoritative,,,,,,,,
52,2022/12/21 10:18:31 PM GMT+5,21,Hostelite,4,5,5,3,5,5,4,1,1,4,2,4,2,2,4,4,3,4,5,2,1,1,1,3,1,4,4,1,5,2.1,4.4,-1.7,3.7731,1.623,-1.458,2.5924,Authoritative,,,,,,,,
53,2022/12/21 10:19:00 PM GMT+5,22,Day Scholar,4,3,5,4,4,5,4,2,1,3,2,4,2,1,4,3,2,2,2,4,3,2,1,2,3,3,3,1,4,2.1,4.4,-1.7,2.7703,-0.8795,-2.0972,1.3593,Authoritative,,,,,,,,
54,2022/12/21 10:20:30 PM GMT+5,18,Day Scholar,4,4,4,5,5,4,5,1,1,4,3,3,3,3,3,4,3,3,4,3,3,2,3,4,3,4,3,1,4,2.3,4.5,-1.4,1.869,-0.1232,-1.4112,0.6188,Authoritative,,,,,,,,
56,2022/12/21 10:32:19 PM GMT+5,22,Day Scholar,4,4,4,3,4,5,4,2,2,5,1,4,1,1,4,4,2,2,5,1,1,2,1,3,2,5,1,1,5,2.4,4.5,-1.4,1.9169,0.7662,-1.0202,-0.2306,Authoritative,,,,,,,,
58,2022/12/21 10:36:55 PM GMT+5,23,Hostelite,5,4,5,5,5,5,5,4,4,5,1,5,1,1,4,4,3,5,5,3,2,2,2,1,3,5,2,1,5,2.4,4.7,-1.4,1.8705,-1.0502,-1.1954,1.237,Authoritative,,,,,,,,
60,2022/12/21 10:38:41 PM GMT+5,20,Hostelite,4,4,4,4,4,5,4,1,1,4,3,4,3,2,4,3,3,3,5,2,2,2,4,4,4,4,3,2,4,2.4,4.7,-1.4,4.6581,-0.1193,-3.012,2.291,Authoritative,,,,,,,,
62,2022/12/21 10:47:39 PM GMT+5,24,Hostelite,3,5,5,4,5,5,4,1,1,5,1,5,1,1,3,5,3,5,5,4,1,1,1,3,3,5,3,1,3,2.4,4.8,-1.4,4.9484,-0.378,-2.6362,2.5321,Authoritative,,,,,,,,
64,2022/12/21 10:56:18 PM GMT+5,21,Hostelite,4,3,3,4,4,4,4,2,1,4,2,5,3,1,5,4,3,4,4,4,2,2,1,1,1,4,3,2,3,2.7,5,-1,1.6222,0.2023,-0.8927,0.0199,Authoritative,,,,,,,,
66,2022/12/21 11:01:54 PM GMT+5,20,Hostelite,5,5,5,5,5,5,5,1,1,3,1,5,1,1,3,3,1,5,3,1,1,1,1,1,1,5,1,1,5,2.7,5.1,-1,2.9087,0.2096,-1.5484,0.7788,Authoritative,,,,,,,,
70,2022/12/21 11:11:28 PM GMT+5,21,Day Scholar,5,4,5,5,5,4,5,1,1,4,1,5,2,1,5,4,2,4,4,4,1,1,3,2,3,5,1,2,5,2.7,5.1,-1,3.4962,0.6281,-1.3812,0.5648,Authoritative,,,,,,,,
71,2022/12/21 11:16:48 PM GMT+5,25,Day Scholar,4,4,5,4,4,3,4,5,5,4,1,4,2,2,4,4,2,5,5,4,2,2,2,2,2,4,2,2,3,3,5.4,-1,1.895,-0.4581,-2.1614,-0.2448,Authoritative,,,,,,,,
74,2022/12/22 12:07:42 AM GMT+5,19,Hostelite,5,4,5,5,4,5,4,1,1,5,1,5,1,1,5,5,3,5,4,2,3,2,2,2,1,5,1,2,5,3,5.4,-1,3.2691,0.742,-1.4429,0.801,Authoritative,,,,,,,,
76,2022/12/22 7:51:51 AM GMT+5,21,Hostelite,5,3,5,5,5,2,4,1,4,4,2,4,2,1,3,4,2,5,5,3,2,4,1,1,1,5,3,1,5,3.3,5.4,-0.7,2.154,-0.8311,-0.8975,1.5462,Authoritative,,,,,,,,
77,2022/12/22 10:57:46 AM GMT+5,20,Hostelite,3,1,4,5,4,1,4,1,1,3,2,4,2,2,1,4,3,2,2,2,1,2,4,3,1,3,3,1,4,3.4,5.7,-0.3,3.372,-1.2045,-2.0717,1.7816,Authoritative,,,,,,,,
78,2022/12/22 11:47:46 AM GMT+5,21,Hostelite,4,5,5,4,4,5,5,3,2,5,2,3,3,1,4,4,3,4,3,4,2,3,4,2,2,5,2,2,3,3.7,5.7,-0.3,4.6089,-0.2609,-2.6094,3.5925,Authoritative,,,,,,,,
79,2022/12/22 12:17:34 PM GMT+5,21,Hostelite,4,4,5,5,4,3,5,1,1,3,1,2,1,2,4,3,3,3,4,3,3,3,3,3,2,3,3,3,4,4,5.7,0,5.893,-1.142,-2.1971,2.8906,Authoritative,,,,,,,,
81,2022/12/22 1:48:32 PM GMT+5,22,Hostelite,3,4,5,4,3,4,2,2,2,4,2,4,2,2,3,4,3,2,3,2,2,2,2,2,3,4,3,2,2,4.4,5.7,0,1.0291,0.5285,-0.6274,0.2324,Authoritative,,,,,,,,
83,2022/12/22 3:27:13 PM GMT+5,21,Day Scholar,5,5,5,5,5,5,3,4,4,5,1,5,1,1,3,4,5,4,5,3,1,1,1,1,1,5,1,1,5,5.1,5.7,1.4,3.3306,-1.1409,-2.2675,2.6359,Authoritative,,,,,,,,
85,2022/12/22 5:47:00 PM GMT+5,20,Hostelite,5,3,5,4,5,5,4,1,1,3,1,5,1,1,5,5,2,4,4,2,1,1,1,2,5,5,4,1,5,6.4,5.7,1.4,4.4976,-0.8708,-1.7996,3.0189,Authoritative,,,,,,,,
86,2022/12/22 8:39:20 PM GMT+5,20,Hostelite,4,3,4,3,4,4,2,1,3,4,1,4,2,1,2,3,2,3,2,2,1,1,2,3,3,4,2,3,2,6.4,6,2,4.3451,-1.1925,-2.1616,2.1739,Authoritative,,,,,,,,
1,2022/12/20 7:04:30 PM GMT+5,20,Hostelite,4,3,5,3,3,5,3,1,1,3,2,3,2,2,4,3,2,3,2,3,1,3,5,4,4,4,5,1,2,-4.1,-3.5,-2,-0.3015,1.7552,0.6214,0.0689,Controlling,,,,,,,,
4,2022/12/20 7:06:03 PM GMT+5,23,Hostelite,1,4,3,4,5,1,4,3,2,1,5,1,5,4,2,1,1,2,1,2,2,2,3,5,3,1,5,5,3,-3.4,-3.1,-2,-2.5655,1.3477,0.3428,-2.8697,Controlling,,,,,,,,
6,2022/12/20 7:12:12 PM GMT+5,22,Hostelite,3,1,5,2,1,2,2,1,1,4,2,4,2,3,4,4,4,3,1,2,1,4,4,4,2,3,5,1,2,-2.4,-2.4,-2,0.7789,2.1532,-1.2947,-0.3262,Controlling,,,,,,,,
13,2022/12/20 7:29:14 PM GMT+5,22,Day Scholar,4,5,4,4,2,4,2,1,1,3,4,4,3,3,5,3,3,4,5,2,1,2,4,4,5,5,5,2,4,-2,-1.4,-2,0.7824,2.7152,0.6508,0.6696,Controlling,,,,,,,,
20,2022/12/20 8:25:37 PM GMT+5,22,Day Scholar,5,3,4,4,3,5,2,2,1,2,4,4,4,1,3,5,2,3,4,2,1,4,5,3,3,4,3,4,3,-2,-1.4,-2,-0.6514,1.963,-0.0078,-1.4094,Controlling,,,,,,,,
30,2022/12/21 10:09:40 AM GMT+5,20,Day Scholar,5,4,2,5,4,3,3,1,1,2,2,2,3,2,3,3,2,2,2,2,2,3,5,4,3,1,5,1,2,-1.1,-0.7,-2,1.5786,2.2834,0.4101,1.5424,Controlling,,,,,,,,
32,2022/12/21 5:31:59 PM GMT+5,18,Day Scholar,5,5,4,4,5,5,5,1,1,5,1,1,3,1,4,4,4,4,1,2,1,1,5,4,4,1,4,1,4,-1,0,-2,1.1324,1.7389,0.5131,0.089,Controlling,,,,,,,,
33,2022/12/21 7:31:52 PM GMT+5,21,Hostelite,5,3,4,5,5,5,5,1,1,5,5,4,1,2,5,3,5,4,2,2,3,4,3,4,4,5,4,1,3,0,0.4,-2,1.2077,1.9243,0.4522,-0.1084,Controlling,,,,,,,,
38,2022/12/21 9:48:20 PM GMT+5,20,Day Scholar,3,4,4,4,3,4,3,1,1,5,3,4,5,3,5,5,1,1,3,1,1,3,4,5,5,3,5,2,2,0.1,0.7,-2,-0.3805,1.5058,0.8787,1.2547,Controlling,,,,,,,,
41,2022/12/21 9:56:49 PM GMT+5,20,Hostelite,2,2,3,2,2,2,2,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.1,0.7,-2,0.5066,1.7773,1.4271,0.7897,Controlling,,,,,,,,
55,2022/12/21 10:22:19 PM GMT+5,20,Day Scholar,3,3,2,3,3,3,2,5,5,2,2,1,1,2,4,2,3,4,3,3,2,2,4,5,2,1,3,5,3,0.7,1.7,-1.7,0.0525,1.1665,-0.2873,0.3448,Controlling,,,,,,,,
65,2022/12/21 10:58:11 PM GMT+5,19,Hostelite,2,2,2,2,4,2,4,1,1,1,5,2,3,2,1,1,2,3,2,4,1,3,4,4,3,2,4,3,1,1.3,1.7,-0.7,-2.8035,1.887,0.8368,-2.4882,Controlling,,,,,,,,
69,2022/12/21 11:04:08 PM GMT+5,69,Hostelite,1,4,2,4,3,5,3,1,1,2,5,1,4,2,5,5,1,4,4,1,1,1,5,5,4,5,5,5,2,1.7,2,-0.3,-0.15,1.4156,1.1657,0.5208,Controlling,,,,,,,,
73,2022/12/21 11:39:22 PM GMT+5,20,Hostelite,4,2,4,2,3,2,4,5,5,2,4,2,3,2,4,3,3,3,5,3,1,3,4,4,2,4,2,2,2,2,2.1,1.7,-0.2597,0.2625,-2.0832,-1.0514,Controlling,,,,,,,,
75,2022/12/22 12:59:38 AM GMT+5,20,Hostelite,3,2,5,3,1,3,3,1,1,2,3,1,1,1,4,3,1,1,2,1,1,2,1,5,2,4,5,4,2,2,2.7,2,0.5721,1.7168,0.1393,-0.2287,Controlling,,,,,,,,
84,2022/12/22 5:33:33 PM GMT+5,22,Day Scholar,2,1,2,2,2,4,2,1,4,2,4,4,5,5,5,4,1,1,2,1,4,4,5,4,4,4,5,4,4,2.4,4.7,2,-0.1316,1.4433,-1.3998,0.4877,Controlling,,,,,,,,
88,2022/12/23 7:44:22 PM GMT+5,23,Day Scholar,5,4,3,4,2,1,4,5,5,4,4,1,1,3,2,1,1,1,1,2,1,1,4,5,5,4,4,4,3,2.7,5.7,2,0.0388,1.6612,1.0631,-2.6072,Controlling,,,,,,,,
68,2022/12/21 11:03:21 PM GMT+5,20,Hostelite,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,N/A,,,,,,,,
2,2022/12/20 7:05:53 PM GMT+5,21,Hostelite,5,3,5,3,3,5,2,1,1,3,1,1,1,1,5,3,5,5,5,1,1,2,1,1,5,5,1,1,5,-4.7,-3.4,-2,1.2207,-0.2443,-0.7231,1.2648,Neglectful,,,,,,,,
7,2022/12/20 7:13:34 PM GMT+5,20,Hostelite,4,4,4,3,4,5,3,3,2,3,1,4,1,1,3,4,5,3,4,2,3,2,1,3,2,3,1,2,4,-3.4,-2.1,-2,2.71,0.6488,-2.326,3.4074,Neglectful,,,,,,,,
16,2022/12/20 7:43:29 PM GMT+5,20,Day Scholar,3,2,1,3,1,2,3,1,1,3,3,3,4,4,4,3,2,1,2,2,4,1,4,2,4,4,1,2,4,-2.7,-2.1,-2,0.7162,-0.794,-0.0749,2.0438,Neglectful,,,,,,,,
29,2022/12/20 11:07:37 PM GMT+5,20,Hostelite,5,3,5,4,5,3,5,1,1,3,1,3,3,3,2,4,3,5,3,1,1,1,3,3,2,4,2,3,4,0,0.4,-2,2.3289,-0.2484,-0.2245,2.3924,Neglectful,,,,,,,,
39,2022/12/21 9:55:03 PM GMT+5,21,Hostelite,4,1,5,2,4,1,3,4,2,5,1,4,5,1,3,2,3,5,1,4,2,2,2,2,1,4,1,1,1,0.7,0.6,-2,2.0277,0.909,-0.9502,3.2937,Neglectful,,,,,,,,
57,2022/12/21 10:36:25 PM GMT+5,20,Day Scholar,4,4,5,4,3,4,3,1,1,3,2,4,3,2,4,4,4,3,4,3,1,2,2,2,3,4,3,2,5,1,2.3,-2,2.0829,0.0981,-1.2733,2.5236,Neglectful,,,,,,,,
59,2022/12/21 10:37:44 PM GMT+5,21,Day Scholar,4,5,5,5,4,3,5,1,1,2,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.1,3.1,-2,1.0739,0.5384,-0.2799,1.0891,Neglectful,,,,,,,,
61,2022/12/21 10:43:53 PM GMT+5,25,Hostelite,5,5,5,5,4,5,5,3,1,4,1,4,2,1,5,5,5,3,4,3,3,4,2,1,1,4,2,1,4,1.4,3.8,-2,0.2342,0.306,-0.3514,0.449,Neglectful,,,,,,,,
63,2022/12/21 10:49:15 PM GMT+5,20,Hostelite,5,2,2,3,4,5,2,1,1,4,2,3,3,1,4,4,4,4,5,3,2,2,2,2,4,4,3,3,4,1.7,4,-1,2.3807,-1.214,-1.9345,2.7927,Neglectful,,,,,,,,
67,2022/12/21 11:02:32 PM GMT+5,22,Hostelite,3,2,2,2,2,4,2,1,1,2,1,5,1,1,5,5,3,5,3,2,2,2,2,2,2,5,1,1,3,2.4,4.1,-0.7,1.8537,-0.2493,-1.8317,2.0552,Neglectful,,,,,,,,
80,2022/12/22 12:32:08 PM GMT+5,20,Day Scholar,5,4,5,5,4,4,4,3,2,4,4,2,1,1,5,5,3,4,3,2,1,3,4,3,3,5,2,1,5,3.7,4.4,-0.7,1.7117,1.0211,-0.8182,1.8519,Neglectful,,,,,,,,
82,2022/12/22 2:58:40 PM GMT+5,20,Hostelite,2,2,3,3,5,1,2,1,1,4,4,4,4,3,4,5,5,4,4,3,5,1,2,5,2,2,2,5,4,3.7,4.8,0,0.3722,-1.042,-1.221,1.1907,Neglectful,,,,,,,,
87,2022/12/22 9:12:34 PM GMT+5,19,Day Scholar,4,4,5,5,5,4,3,4,2,4,1,3,3,1,4,4,3,4,3,2,3,2,3,4,4,3,1,2,5,4.4,5.7,0,2.2352,0.4647,-0.046,2.4029,Neglectful,,,,,,,,
43,2022/12/21 9:59:09 PM GMT+5,21,Day Scholar,4,4,5,5,4,5,3,1,1,4,5,3,3,1,1,5,4,5,5,3,4,3,4,4,4,4,4,5,5,0,0,0,0.365,-0.144,0.399,0.212,Permissive,,,,,,,,
51,2022/12/21 10:18:04 PM GMT+5,22,Day Scholar,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,2.4,4.1,-2,0.267,-0.4445,1.7453,-0.0746,Permissive,,,,,,,,
72,2022/12/21 11:34:04 PM GMT+5,23,Hostelite,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,6,2,0.371,-0.375,2.976,1.502,Permissive,,,,,,,,
36,2022/12/21 9:39:17 PM GMT+5,16,Day Scholar,5,3,5,3,3,5,3,1,1,5,1,5,1,1,5,3,3,5,5,3,4,4,1,3,1,5,4,1,5,,,,,,,,,,,,,,,,
