,Timestamp,Age,Status,I am able to make my own decisions about my education and career path.,I am able to communicate my needs and wants effectively.,I am able to make my own decisions about my appearance and personal style.,I am able to advocate for myself in various situations,I am confident in my ability to solve problems on my own.,I have a support network of friends and family that I can rely on,I am able to handle conflicts and problems on my own without relying on others.,I have a job/source of income,"I manage My own finances, including paying bills and budgeting",My parents encourage me to manage my affairs independently.,My parents use threats/criticism as punishment with little or no justification.,My parents take my feelings into consideration before asking me to do something.,My parents ignore me when I act up.,My parents isolate me with little or no explanation.,My parents explain the reasons behind their expectations.,My parents allow me to give input into family rules. ,My parents give into me when I throw a tantrum.,My parents fulfil all my wishes without hesitation.,My parents encourage me to talk about my problems.,"My parents do not punish me, whenever I am rude with someone",My parents ignore my bad behaviour. ,My parents do not set clear boundaries and consequences for my behavior.,My parents frequently remind me of all the things they have done for me.,My parents yell/shout when they disapprove of my behaviour.,My parents state punishments more often than actually carrying them out.,My parents consider my preferences when they make plans for the family (e.g. weekends and holidays) ,"When I ask my parents the reason for doing something, they say, ’because I am your parent’.","My parents punish me by taking away privileges (e.g., TV, games, visiting friends). ","My parents encourage me to freely speak my mind, even if I disagree with them. ",Social Independence Score,Emotional Independence Score,Financial Independence Score,Authoritative Score,Authoritarian Score,Permissive Score,Neglectful Score,Parental Style
12,12/20/2022 19:25,20,Hostelite,5,3,5,5,4,3,5,1,1,1,1,5,1,1,3,5,3,5,5,2,1,1,1,2,1,5,1,1,5,2.7,4.7,-1.0,3.1593999999999998,0.2632,-2.8709,3.1114000000000006,Authoritative
13,12/20/2022 19:29,22,Day Scholar,4,5,4,4,2,4,2,1,1,3,4,4,3,3,5,3,3,4,5,2,1,2,4,4,5,5,5,2,4,-0.6000000000000003,2.3999999999999995,-1.3,1.5786000000000007,2.2834000000000003,0.41010000000000013,1.5423999999999998,Authoritarian
14,12/20/2022 19:30,19,Day Scholar,5,5,5,5,4,4,4,1,1,5,1,5,1,1,4,5,4,5,5,2,2,2,1,1,3,5,1,2,5,3.1000000000000005,6.1000000000000005,-1.0,3.7531999999999996,-0.528,-1.5808,3.5044,Authoritative
15,12/20/2022 19:40,20,Day Scholar,5,3,3,2,5,5,5,1,1,3,1,4,1,1,4,5,3,1,2,1,1,1,1,1,3,5,1,1,5,1.2999999999999998,3.3,-1.0,2.779,0.27259999999999995,-2.4625999999999997,2.6818,Authoritative
16,12/20/2022 19:43,20,Day Scholar,3,2,1,3,1,2,3,1,1,3,3,3,4,4,4,3,2,1,2,2,4,1,4,2,4,4,1,2,4,-4.7,-3.4000000000000004,-2.0,1.2207,-0.24430000000000002,-0.7231,1.2648000000000001,Neglectful
17,12/20/2022 19:51,20,Hostelite,5,2,5,5,2,5,2,1,1,5,1,5,1,1,5,5,5,4,5,2,1,2,2,5,4,5,3,5,5,0.5999999999999996,1.8999999999999997,-1.0,3.2321,1.2065000000000001,0.6144,2.8441,Authoritative
18,12/20/2022 19:53,23,Day Scholar,2,4,2,3,3,2,3,1,1,5,2,4,3,2,2,3,3,4,2,3,2,2,3,2,4,3,3,2,4,-4.1,-1.4,-2.7,1.0256999999999998,-0.4419000000000001,0.35750000000000004,0.35929999999999984,Authoritative
19,12/20/2022 20:12,21,Hostelite,4,3,5,3,3,5,3,1,1,3,2,3,1,1,4,3,1,3,3,1,1,1,2,3,3,3,2,3,3,0.7000000000000002,2.7,-1.3,2.6401000000000003,1.0164,-1.7151,1.1582000000000001,Authoritative
20,12/20/2022 20:25,22,Day Scholar,5,3,4,4,3,5,2,2,1,2,4,4,4,1,3,5,2,3,4,2,1,4,5,3,3,4,3,4,3,1.0,2.7,-0.7,0.05249999999999999,1.1665,-0.2872999999999997,0.3448000000000002,Authoritarian
21,12/20/2022 20:40,18,Day Scholar,3,3,4,3,4,3,4,2,2,3,2,4,2,1,3,3,2,1,3,2,1,2,3,3,3,3,3,4,3,0.6999999999999997,2.0999999999999996,-1.4,1.9168999999999996,0.7662,-1.0201999999999998,-0.23060000000000008,Authoritative
22,12/20/2022 20:40,20,Hostelite,3,4,4,4,4,4,4,1,1,4,1,4,2,2,4,4,3,3,5,3,3,2,4,2,4,5,3,1,4,1.5,4.2,-2.0,4.059599999999999,-0.49360000000000004,-0.8045,1.9251999999999998,Authoritative
23,12/20/2022 20:52,19,Hostelite,5,5,5,5,5,4,5,2,2,4,1,5,1,1,5,5,2,2,5,2,2,2,2,2,3,5,2,2,4,4.3,6.7,-0.3999999999999999,4.948399999999999,-0.378,-2.636199999999999,2.5321000000000002,Authoritative
24,12/20/2022 21:07,19,Day Scholar,5,4,5,3,5,5,5,1,1,5,1,4,1,1,4,5,3,4,4,3,3,3,1,2,4,5,3,1,4,3.0,5.7,-1.0,3.8168999999999995,-0.9051,-0.8831,2.638,Authoritative
25,12/20/2022 21:51,22,Hostelite,5,5,3,4,4,3,4,1,1,4,2,3,2,1,2,4,2,2,4,1,1,1,5,3,4,4,4,4,4,1.0999999999999996,4.1000000000000005,-1.0,2.9298000000000006,0.6205000000000002,0.1564,-0.6983000000000001,Authoritative
26,12/20/2022 22:43,19,Day Scholar,3,3,4,4,5,2,3,2,1,4,1,5,3,1,5,4,2,4,4,3,2,4,3,1,4,4,1,1,5,0.0,1.7,-1.7,3.410799999999999,-0.562,-1.0713000000000001,2.8238,Authoritative
27,12/20/2022 23:02,21,Hostelite,5,3,5,4,5,4,4,1,1,5,1,4,1,1,3,1,1,3,4,3,3,1,1,2,1,5,3,2,3,3.1000000000000005,5.1000000000000005,-1.0,4.179599999999999,-1.3423,-2.6714,0.6222,Authoritative
28,12/20/2022 23:04,20,Hostelite,3,2,4,3,4,4,4,1,1,3,2,4,3,2,3,4,3,2,3,4,2,3,3,3,2,4,2,4,2,0.7999999999999998,2.0999999999999996,-2.0,0.8679999999999998,-0.5046999999999999,-0.8540000000000001,0.2604000000000001,Authoritative
29,12/20/2022 23:07,20,Hostelite,5,3,5,4,5,3,5,1,1,3,1,3,3,3,2,4,3,5,3,1,1,1,3,3,2,4,2,3,4,2.7,4.7,-1.0,1.0739,0.5384000000000001,-0.2799,1.0891,Neglectful
30,12/21/2022 10:09,20,Day Scholar,5,4,2,5,4,3,3,1,1,2,2,2,3,2,3,3,2,2,2,2,2,3,5,4,3,1,5,1,2,0.0,2.7,-1.0,-0.6514,1.9629999999999999,-0.007799999999999894,-1.4094000000000002,Authoritarian
31,12/21/2022 15:31,21,Hostelite,5,5,5,5,5,5,4,3,1,5,5,3,1,1,4,5,1,3,5,1,1,1,1,3,5,1,5,1,5,4.7,6.7,0.0,3.2691,0.742,-1.4428999999999994,0.8010000000000002,Authoritative
32,12/21/2022 17:32,18,Day Scholar,5,5,4,4,5,5,5,1,1,5,1,1,3,1,4,4,4,4,1,2,1,1,5,4,4,1,4,1,4,3.4000000000000004,6.4,-1.0,0.5065999999999997,1.7772999999999999,1.4270999999999998,0.7897,Authoritarian
33,12/21/2022 19:31,21,Hostelite,5,3,4,5,5,5,5,1,1,5,5,4,1,2,5,3,5,4,2,2,3,4,3,4,4,5,4,1,3,3.7,5.7,-1.0,-0.38049999999999995,1.5057999999999998,0.8787,1.2546999999999997,Authoritarian
34,12/21/2022 19:50,22,Hostelite,4,5,4,4,2,4,2,4,2,5,1,4,1,1,5,5,1,5,5,4,1,1,3,1,3,5,1,1,5,1.3999999999999997,2.3999999999999995,0.7,5.892999999999999,-1.1420000000000001,-2.1971,2.8906,Authoritative
35,12/21/2022 20:20,20,Day Scholar,2,2,4,3,3,5,2,1,1,3,1,3,1,1,3,5,3,5,5,2,2,2,1,1,1,5,1,1,3,-1.7,-0.3999999999999999,-2.7,2.8743,-0.4814,-2.541,2.2787,Authoritative
36,12/21/2022 21:39,16,Day Scholar,5,3,5,3,3,5,3,1,1,5,1,5,1,1,5,3,3,5,5,3,4,4,1,3,1,5,4,1,5,,,,,,,,
37,12/21/2022 21:45,18,Day Scholar,4,4,3,4,5,1,4,1,1,3,1,4,2,2,4,4,1,3,1,2,1,3,4,4,1,4,1,1,2,0.09999999999999964,2.8,-1.3,1.7719999999999994,1.3435999999999997,-1.4574,1.0358,Authoritative
38,12/21/2022 21:55,21,Hostelite,4,1,5,2,4,1,3,4,2,5,1,4,5,1,3,2,3,5,1,4,2,2,2,2,1,4,1,1,1,0.7,-0.30000000000000004,0.7,0.37219999999999975,-1.042,-1.2209999999999999,1.1906999999999996,Neglectful
39,12/21/2022 21:55,20,Day Scholar,5,5,5,1,5,5,4,1,1,5,1,5,1,1,5,1,1,5,5,1,1,1,5,1,5,5,5,5,5,1.7000000000000002,4.7,-1.0,5.005000000000001,0.9890000000000001,0.17999999999999994,1.262,Authoritative
40,12/21/2022 21:56,20,Hostelite,2,2,3,2,2,2,2,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.7999999999999998,-4.2,1.0,-0.2597,0.26250000000000007,-2.0832,-1.0513999999999997,Authoritarian
41,12/21/2022 21:59,21,Hostelite,4,4,4,4,5,3,4,1,2,2,1,4,1,1,4,4,1,4,4,2,1,1,3,4,4,4,1,1,4,2.0999999999999996,4.5,-1.0,3.7731000000000003,1.6229999999999996,-1.4579999999999997,2.5923999999999996,Authoritative
42,12/21/2022 21:59,21,Day Scholar,4,4,5,5,4,5,3,1,1,4,5,3,3,1,1,5,4,5,5,3,4,3,4,4,4,4,4,5,5,2.4000000000000004,5.1,-1.3,0.26699999999999996,-0.4444999999999998,1.7452999999999999,-0.07460000000000011,Permissive
43,12/21/2022 22:00,24,Day Scholar,5,5,5,4,5,5,4,1,3,4,1,3,1,1,1,4,1,2,1,1,1,1,2,2,2,5,1,2,2,4.4,6.4,0.0,1.8949999999999991,-0.45810000000000006,-2.1614000000000004,-0.24479999999999996,Authoritative
44,12/21/2022 22:05,22,Day Scholar,2,3,4,3,2,4,3,1,1,3,1,4,2,2,3,3,3,3,4,3,1,2,2,2,4,5,3,1,4,-2.0,0.0,-2.7,2.61,0.102,-1.1519,1.5101999999999998,Authoritative
45,12/21/2022 22:06,20,Day Scholar,4,2,4,3,3,4,3,1,1,4,1,3,3,1,4,5,3,2,3,3,3,2,3,4,3,4,2,3,4,0.09999999999999964,1.4,-1.3,2.5879000000000003,-0.24919999999999998,-0.6448,1.7288000000000001,Authoritative
46,12/21/2022 22:07,18,Day Scholar,5,5,4,4,4,5,3,1,1,4,1,5,3,2,5,3,3,4,4,2,1,4,1,2,2,5,5,3,3,2.0999999999999996,5.1000000000000005,-1.0,2.033,0.4031,-0.7515000000000001,1.8639,Authoritative
47,12/21/2022 22:09,20,Day Scholar,4,3,5,4,3,4,4,1,3,4,2,4,1,1,3,4,2,1,4,1,1,1,3,3,4,5,3,2,3,2.8,3.8,-0.30000000000000004,3.4962000000000004,0.6281,-1.3811999999999998,0.5648,Authoritative
48,12/21/2022 22:14,21,Day Scholar,4,4,3,4,3,3,4,1,1,4,1,3,2,1,4,4,2,2,4,2,1,1,2,3,4,4,4,2,3,0.09999999999999964,2.8,-1.3,3.6717999999999997,0.6740999999999999,-1.2216999999999998,1.1133000000000002,Authoritative
49,12/21/2022 22:15,21,Hostelite,5,3,3,4,5,5,3,2,2,4,2,4,3,1,3,3,3,3,5,3,3,5,1,3,1,5,3,3,5,2.3,3.7,-0.3999999999999999,1.8704999999999998,-1.0501999999999998,-1.1954,1.237,Authoritative
50,12/21/2022 22:18,22,Day Scholar,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,0.0,0.0,0.0,0.365,-0.14400000000000002,0.39899999999999997,0.212,Permissive
51,12/21/2022 22:18,21,Hostelite,4,5,5,3,5,5,4,1,1,4,2,4,2,2,4,4,3,4,5,2,1,1,1,3,1,4,4,1,5,2.4000000000000004,5.4,-1.3,3.7245,0.40359999999999996,-1.8753000000000002,2.3387000000000002,Authoritative
52,12/21/2022 22:19,22,Day Scholar,4,3,5,4,4,5,4,2,1,3,2,4,2,1,4,3,2,2,2,4,3,2,1,2,3,3,3,1,4,3.0999999999999996,4.8,-1.0,2.7702999999999998,-0.8794999999999998,-2.0971999999999995,1.3593000000000002,Authoritative
53,12/21/2022 22:20,18,Day Scholar,4,4,4,5,5,4,5,1,1,4,3,3,3,3,3,4,3,3,4,3,3,2,3,4,3,4,3,1,4,3.0999999999999996,5.8,-1.3,1.8484000000000003,-0.2016,-0.47529999999999994,0.8903,Authoritative
54,12/21/2022 22:22,20,Day Scholar,3,3,2,3,3,3,2,5,5,2,2,1,1,2,4,2,3,4,3,3,2,2,4,5,2,1,3,5,3,0.6000000000000001,-1.4,2.0,0.5720999999999998,1.7168000000000003,0.1393000000000001,-0.2287,Authoritarian
55,12/21/2022 22:32,22,Day Scholar,4,4,4,3,4,5,4,2,2,5,1,4,1,1,4,4,2,2,5,1,1,2,1,3,2,5,1,1,5,2.3999999999999995,4.5,-0.7,4.658099999999999,-0.11930000000000003,-3.0119999999999996,2.291,Authoritative
56,12/21/2022 22:36,20,Day Scholar,4,4,5,4,3,4,3,1,1,3,2,4,3,2,4,4,4,3,4,3,1,2,2,2,3,4,3,2,5,1.0999999999999996,3.8,-1.3,2.0828999999999995,0.09809999999999999,-1.2733,2.5235999999999996,Neglectful
57,12/21/2022 22:36,23,Hostelite,5,4,5,5,5,5,5,4,4,5,1,5,1,1,4,4,3,5,5,3,2,2,2,1,3,5,2,1,5,7.4,6.7,2.4,4.4976,-0.8708,-1.7996,3.0189000000000004,Authoritative
58,12/21/2022 22:37,21,Day Scholar,4,5,5,5,4,3,5,1,1,2,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.4000000000000004,5.4,-1.3,0.23419999999999996,0.306,-0.35140000000000005,0.44899999999999995,Neglectful
59,12/21/2022 22:38,20,Hostelite,4,4,4,4,4,5,4,1,1,4,3,4,3,2,4,3,3,3,5,2,2,2,4,4,4,4,3,2,4,2.5,5.2,-1.3,2.2473000000000005,1.2446,-0.26719999999999977,1.3623999999999996,Authoritative
60,12/21/2022 22:43,25,Hostelite,5,5,5,5,4,5,5,3,1,4,1,4,2,1,5,5,5,3,4,3,3,4,2,1,1,4,2,1,4,4.7,6.7,0.0,2.3806999999999996,-1.214,-1.9345000000000003,2.7927,Neglectful
61,12/21/2022 22:47,24,Hostelite,3,5,5,4,5,5,4,1,1,5,1,5,1,1,3,5,3,5,5,4,1,1,1,3,3,5,3,1,3,2.4000000000000004,5.4,-2.0,3.9206999999999996,-0.6778,-1.2391,1.8176,Authoritative
62,12/21/2022 22:49,20,Hostelite,5,2,2,3,4,5,2,1,1,4,2,3,3,1,4,4,4,4,5,3,2,2,2,2,4,4,3,3,4,-0.7,0.6000000000000001,-1.0,2.3289,-0.2484,-0.2245,2.3924,Neglectful
63,12/21/2022 22:56,21,Hostelite,4,3,3,4,4,4,4,2,1,4,2,5,3,1,5,4,3,4,4,4,2,2,1,1,1,4,3,2,3,1.7999999999999998,3.5,-1.0,3.3211,-1.1383,-2.1927000000000003,2.5396,Authoritative
64,12/21/2022 22:58,19,Hostelite,2,2,2,2,4,2,4,1,1,1,5,2,3,2,1,1,2,3,2,4,1,3,4,4,3,2,4,3,1,-3.3999999999999995,-2.0999999999999996,-2.7,-2.5655,1.3477,0.34279999999999994,-2.8697,Authoritarian
65,12/21/2022 23:01,20,Hostelite,5,5,5,5,5,5,5,1,1,3,1,5,1,1,3,3,1,5,3,1,1,1,1,1,1,5,1,1,5,4.0,7.0,-1.0,3.609,-0.048999999999999974,-2.8779999999999997,2.366,Authoritative
66,12/21/2022 23:02,22,Hostelite,3,2,2,2,2,4,2,1,1,2,1,5,1,1,5,5,3,5,3,2,2,2,2,2,2,5,1,1,3,-4.1,-2.8,-2.0,2.7099999999999995,0.6488000000000002,-2.326,3.4074,Neglectful
67,12/21/2022 23:03,20,Hostelite,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A
68,12/21/2022 23:04,69,Hostelite,1,4,2,4,3,5,3,1,1,2,5,1,4,2,5,5,1,4,4,1,1,1,5,5,4,5,5,5,2,-2.0,0.7,-3.0,0.7824000000000003,2.7152000000000003,0.6508000000000002,0.6695999999999995,Authoritarian
69,12/21/2022 23:11,21,Day Scholar,5,4,5,5,5,4,5,1,1,4,1,5,2,1,5,4,2,4,4,4,1,1,3,2,3,5,1,2,5,3.7,6.4,-1.0,5.036799999999999,-0.7498999999999998,-1.9118,2.842,Authoritative
70,12/21/2022 23:16,25,Day Scholar,4,4,5,4,4,3,4,5,5,4,1,4,2,2,4,4,2,5,5,4,2,2,2,2,2,4,2,2,3,5.8,4.5,2.7,4.3450999999999995,-1.1925,-2.1616,2.1738999999999997,Authoritative
71,12/21/2022 23:34,23,Hostelite,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8.0,7.0,3.0,0.37100000000000005,-0.3749999999999998,2.9760000000000004,1.5020000000000002,Permissive
72,12/21/2022 23:39,20,Hostelite,4,2,4,2,3,2,4,5,5,2,4,2,3,2,4,3,3,3,5,3,1,3,4,4,2,4,2,2,2,2.7,0.0,2.7,-0.13159999999999988,1.4433000000000002,-1.3997999999999997,0.4877,Authoritarian
73,12/22/2022 0:07,19,Hostelite,5,4,5,5,4,5,4,1,1,5,1,5,1,1,5,5,3,5,4,2,3,2,2,2,1,5,1,2,5,3.4000000000000004,6.1000000000000005,-1.0,4.5756999999999985,-0.9066,-2.2889,3.5199000000000003,Authoritative
74,12/22/2022 0:59,20,Hostelite,3,2,5,3,1,3,3,1,1,2,3,1,1,1,4,3,1,1,2,1,1,2,1,5,2,4,5,4,2,-2.0,-0.7,-2.0,0.7788999999999998,2.1532,-1.2946999999999997,-0.3262000000000001,Authoritarian
75,12/22/2022 7:51,21,Hostelite,5,3,5,5,5,2,4,1,4,4,2,4,2,1,3,4,2,5,5,3,2,4,1,1,1,5,3,1,5,3.7,4.0,0.7,3.372,-1.2045000000000001,-2.0717,1.7816,Authoritative
76,12/22/2022 10:57,20,Hostelite,3,1,4,5,4,1,4,1,1,3,2,4,2,2,1,4,3,2,2,2,1,2,4,3,1,3,3,1,4,0.09999999999999964,1.0999999999999999,-2.0,0.8378,0.5005999999999999,-1.1945,-0.4570000000000002,Authoritative
77,12/22/2022 11:47,21,Hostelite,4,5,5,4,4,5,5,3,2,5,2,3,3,1,4,4,3,4,3,4,2,3,4,2,2,5,2,2,3,4.3999999999999995,6.1000000000000005,0.0,2.154,-0.8311,-0.8975,1.5462,Authoritative
78,12/22/2022 12:17,21,Hostelite,4,4,5,5,4,3,5,1,1,3,1,2,1,2,4,3,3,3,4,3,3,3,3,3,2,3,3,3,4,2.4000000000000004,5.1,-1.3,2.2744999999999997,-0.0805,-0.9898,0.8351,Authoritative
79,12/22/2022 12:32,20,Day Scholar,5,4,5,5,4,4,4,3,2,4,4,2,1,1,5,5,3,4,3,2,1,3,4,3,3,5,2,1,5,4.4,5.800000000000001,0.30000000000000004,1.7117,1.0211,-0.8182,1.8519,Neglectful
80,12/22/2022 13:48,22,Hostelite,3,4,5,4,3,4,2,2,2,4,2,4,2,2,3,4,3,2,3,2,2,2,2,2,3,4,3,2,2,0.30000000000000004,2.3999999999999995,-1.4,1.8689999999999998,-0.12320000000000005,-1.4112,0.6188,Authoritative
81,12/22/2022 14:58,20,Hostelite,2,2,3,3,5,1,2,1,1,4,4,4,4,3,4,5,5,4,4,3,5,1,2,5,2,2,2,5,4,-3.4,-2.0999999999999996,-2.7,0.7162,-0.7939999999999998,-0.07490000000000005,2.0438,Neglectful
82,12/22/2022 15:27,21,Day Scholar,5,5,5,5,5,5,3,4,4,5,1,5,1,1,3,4,5,4,5,3,1,1,1,1,1,5,1,1,5,6.4,6.0,2.4,3.330599999999999,-1.1409,-2.2674999999999996,2.6359,Authoritative
83,12/22/2022 17:33,22,Day Scholar,2,1,2,2,2,4,2,1,4,2,4,4,5,5,5,4,1,1,2,1,4,4,5,4,4,4,5,4,4,-3.0999999999999996,-3.8,-1.0,-0.15000000000000002,1.4156,1.1657,0.5207999999999999,Authoritarian
84,12/22/2022 17:47,20,Hostelite,5,3,5,4,5,5,4,1,1,3,1,5,1,1,5,5,2,4,4,2,1,1,1,2,5,5,4,1,5,3.4000000000000004,5.4,-1.0,4.628299999999999,0.7907000000000001,-1.3637000000000001,3.0818,Authoritative
85,12/22/2022 20:39,20,Hostelite,4,3,4,3,4,4,2,1,3,4,1,4,2,1,2,3,2,3,2,2,1,1,2,3,3,4,2,3,2,1.0999999999999996,2.0999999999999996,-0.30000000000000004,1.6221999999999999,0.20230000000000004,-0.8926999999999998,0.019899999999999918,Authoritative
86,12/22/2022 21:12,19,Day Scholar,4,4,5,5,5,4,3,4,2,4,1,3,3,1,4,4,3,4,3,2,3,2,3,4,4,3,1,2,5,4.4,5.1000000000000005,0.7,2.2352,0.4647,-0.04600000000000003,2.4029000000000003,Neglectful
87,12/23/2022 19:44,23,Day Scholar,5,4,3,4,2,1,4,5,5,4,4,1,1,3,2,1,1,1,1,2,1,1,4,5,5,4,4,4,3,2.7,1.4,3.0,0.038800000000000015,1.6612,1.0631,-2.6072000000000006,Authoritarian
